tanggal,pm10,so2,co,o3,no2,max,critical,categori,location
2021-01-01,43,58,29,35,65,65,O3,SEDANG,DKI2
2021-01-02,58,86,38,64,80,86,PM25,SEDANG,DKI3
2021-01-03,64,93,25,62,86,93,PM25,SEDANG,DKI3
2021-01-04,50,67,24,31,77,77,O3,SEDANG,DKI2
2021-01-05,59,89,24,35,77,89,PM25,SEDANG,DKI3
2021-01-06,73,81,29,66,85,85,O3,SEDANG,DKI2
2021-01-07,36,52,22,55,72,72,O3,SEDANG,DKI2
2021-01-08,38,68,26,51,71,71,O3,SEDANG,DKI2
2021-01-09,60,77,34,42,80,80,O3,SEDANG,DKI2
2021-01-10,24,39,16,38,59,59,O3,SEDANG,DKI2
2021-01-11,51,72,17,57,68,72,PM25,SEDANG,DKI3
2021-01-12,29,58,20,44,77,77,O3,SEDANG,DKI2
2021-01-13,36,47,17,32,68,68,O3,SEDANG,DKI2
2021-01-14,36,78,20,38,65,78,PM25,SEDANG,DKI3
2021-01-15,52,82,20,56,65,82,PM25,SEDANG,DKI3
2021-01-16,70,92,19,38,67,92,PM25,SEDANG,DKI3
2021-01-17,58,86,22,41,93,93,O3,SEDANG,DKI2
2021-01-18,51,64,21,37,78,78,O3,SEDANG,DKI2
2021-01-19,42,56,19,35,58,58,O3,SEDANG,DKI2
2021-01-20,54,45,17,33,72,72,O3,SEDANG,DKI2
2021-01-21,63,51,21,38,67,67,O3,SEDANG,DKI2
2021-01-22,84,112,32,54,67,112,PM25,TIDAK SEHAT,DKI3
2021-01-23,89,126,47,61,104,126,PM25,TIDAK SEHAT,DKI3
2021-01-24,64,90,19,31,75,90,PM25,SEDANG,DKI3
2021-01-25,62,95,29,67,134,134,O3,TIDAK SEHAT,DKI2
2021-01-26,57,79,34,39,71,79,PM25,SEDANG,DKI3
2021-01-27,33,37,25,20,63,63,O3,SEDANG,DKI2
2021-01-28,28,49,25,28,53,53,O3,SEDANG,DKI2
2021-01-29,30,53,26,36,65,65,O3,SEDANG,DKI2
2021-01-30,46,39,25,32,64,64,O3,SEDANG,DKI2
2021-01-31,41,55,24,29,68,68,O3,SEDANG,DKI2
